LI-8100:	     20c	      93	    9787	     233	     188
File Name:	SR_5_2800_east
Instrument Name:	GCBG
Serial Number:	81A-0265
Software:	2.0.0	LI-8100 File Viewer 2.0.0
Comments:	
Obs#:	1
Port#:	0
Label:	SR_5_2800_east
Observation Length:	03:00
Observation Delay:	00:00
IRGA Averaging:	4
Flow8100:	10
FlowMux:	0
Tmux:	0,00
Virga:	19,0
Vmux:	55,0
Vext:	0,0
Vcham:	835,2
Offset:	3,0
Area:	317,8
Vtotal:	1807,6
V1 Info:	0	M=1	B=0
V2 Info:	0	M=1	B=0
V3 Info:	0	M=1	B=0
V4 Info:	0	M=1	B=0
Labels_01:	28
Type	Etime	Date	Tcham	Pressure	H2O	CO2	Cdry	T1	T2	T3	T4	V1	V2	V3	V4	RH	Tbench	Tboard	Vin	CO2ABS	H2OABS	Hour	DOY	RAWCO2	RAWCO2REF	RAWH2O	RAWH2OREF
1	27	2023-12-09 13:50:30	26.19	72.91	17.838	388.91	395.97	-183.19	-183.12	-183.12	-183.15	0.179	0	0.015	0	38.16	51.36	29.87	12.29	0.08079	0.10216	13.8417	343.57674	2268829	2557650	1697426	1711647
1	28	2023-12-09 13:50:31	26.19	72.92	17.808	389.55	396.61	-183.24	-183.2	-183.17	-183.13	0.179	0	0.015	0	38.08	51.36	29.87	12.3	0.08069	0.10211	13.8419	343.57675	2268603	2557234	1697348	1711528
1	29	2023-12-09 13:50:32	26.2	72.91	17.777	389.79	396.85	-183.19	-183.15	-183.12	-183.12	0.179	0	0.015	0	37.98	51.36	29.87	12.3	0.08064	0.10191	13.8422	343.57676	2268691	2557197	1697433	1711369
1	30	2023-12-09 13:50:33	26.21	72.91	17.748	390.39	397.44	-183.15	-183.15	-183.08	-183.19	0.179	0	0.015	0	37.92	51.33	29.88	12.3	0.08094	0.10193	13.8425	343.57677	2268251	2557287	1697380	1711319
1	31	2023-12-09 13:50:34	26.22	72.9	17.728	390.69	397.74	-183.2	-183.17	-183.13	-183.2	0.179	0	0.015	0	37.85	51.31	29.88	12.3	0.08097	0.10188	13.8428	343.57678	2267814	2556850	1697313	1711197
1	32	2023-12-09 13:50:35	26.22	72.9	17.705	391.25	398.3	-183.24	-183.17	-183.17	-183.17	0.179	0	0.015	0	37.78	51.33	29.88	12.31	0.08111	0.10181	13.8431	343.57679	2267685	2557047	1697384	1711208
1	33	2023-12-09 13:50:36	26.23	72.91	17.677	391.93	398.98	-183.24	-183.2	-183.17	-183.17	0.179	0	0.015	0	37.72	51.33	29.89	12.3	0.08106	0.10143	13.8433	343.57681	2267298	2556525	1697409	1710832
1	34	2023-12-09 13:50:37	26.23	72.91	17.661	392.38	399.43	-183.2	-183.2	-183.2	-183.2	0.179	0	0.015	0	37.67	51.33	29.89	12.3	0.0812	0.10169	13.8436	343.57682	2266705	2556158	1697181	1710889
1	35	2023-12-09 13:50:38	26.23	72.91	17.629	393	400.05	-183.22	-183.22	-183.15	-183.18	0.179	0	0.015	0	37.6	51.36	29.91	12.3	0.0814	0.10139	13.8439	343.57683	2266613	2556427	1697305	1710657
1	36	2023-12-09 13:50:39	26.24	72.91	17.608	393.6	400.66	-183.2	-183.2	-183.17	-183.13	0.179	0	0.015	0	37.53	51.33	29.91	12.3	0.08152	0.10136	13.8442	343.57684	2266266	2556304	1697063	1710384
1	37	2023-12-09 13:50:40	26.25	72.9	17.595	393.9	400.96	-183.2	-183.2	-183.13	-183.17	0.179	0	0.015	0	37.48	51.33	29.91	12.3	0.08131	0.10142	13.8444	343.57685	2266051	2555578	1696957	1710319
1	38	2023-12-09 13:50:41	26.24	72.91	17.567	394.37	401.42	-183.23	-183.2	-183.16	-183.23	0.179	0	0.015	0	37.42	51.33	29.92	12.31	0.08151	0.10116	13.8447	343.57686	2265504	2555442	1696983	1710097
1	39	2023-12-09 13:50:42	26.25	72.91	17.551	394.77	401.82	-183.22	-183.22	-183.18	-183.18	0.179	0	0.015	0	37.39	51.28	29.92	12.31	0.08165	0.10118	13.8450	343.57687	2265214	2555423	1696834	1709970
1	40	2023-12-09 13:50:43	26.26	72.92	17.527	395.16	402.21	-183.25	-183.22	-183.18	-183.15	0.179	0	0.015	0	37.32	51.28	29.92	12.31	0.08173	0.101	13.8453	343.57689	2264992	2555341	1696861	1709796
1	41	2023-12-09 13:50:44	26.25	72.92	17.502	395.71	402.76	-183.22	-183.18	-183.15	-183.15	0.179	0	0.015	0	37.27	51.33	29.92	12.31	0.08166	0.10094	13.8456	343.57690	2264554	2554716	1696737	1709629
1	42	2023-12-09 13:50:45	26.26	72.92	17.498	395.7	402.75	-183.22	-183.22	-183.18	-183.25	0.179	0	0.015	0	37.26	51.33	29.93	12.31	0.0815	0.10107	13.8458	343.57691	2264554	2554348	1696549	1709558
1	43	2023-12-09 13:50:46	26.26	72.92	17.478	396.22	403.27	-183.25	-183.22	-183.22	-183.25	0.179	0	0.015	0	37.2	51.33	29.93	12.31	0.08179	0.1009	13.8461	343.57692	2263946	2554273	1696551	1709375
1	44	2023-12-09 13:50:47	26.26	72.92	17.454	396.79	403.84	-183.27	-183.2	-183.2	-183.23	0.179	0	0.015	0	37.14	51.31	29.93	12.31	0.082	0.10075	13.8464	343.57693	2263622	2554353	1696467	1709126
1	45	2023-12-09 13:50:48	26.26	72.91	17.442	397.11	404.16	-183.25	-183.25	-183.21	-183.21	0.179	0	0.015	0	37.11	51.28	29.94	12.31	0.08204	0.10075	13.8467	343.57694	2263447	2554200	1696308	1708935
1	46	2023-12-09 13:50:49	26.27	72.91	17.417	397.95	405.01	-183.27	-183.23	-183.2	-183.2	0.178	0	0.015	0	37.06	51.28	29.94	12.3	0.08206	0.10061	13.8469	343.57696	2262923	2553650	1696219	1708701
1	47	2023-12-09 13:50:50	26.28	72.9	17.405	398.36	405.42	-183.2	-183.2	-183.2	-183.23	0.178	0	0.015	0	37.01	51.28	29.94	12.3	0.082	0.10054	13.8472	343.57697	2262730	2553320	1696217	1708616
1	48	2023-12-09 13:50:51	26.28	72.9	17.389	398.91	405.97	-183.27	-183.23	-183.2	-183.2	0.178	0	0.015	0	36.97	51.28	29.95	12.3	0.08223	0.10046	13.8475	343.57698	2262325	2553327	1696062	1708369
1	49	2023-12-09 13:50:52	26.28	72.9	17.371	399.62	406.68	-183.27	-183.27	-183.2	-183.16	0.178	0	0.015	0	36.91	51.28	29.95	12.29	0.08225	0.10049	13.8478	343.57699	2261921	2552926	1695911	1708258
1	50	2023-12-09 13:50:53	26.28	72.9	17.364	399.91	406.98	-183.25	-183.25	-183.18	-183.18	0.178	0	0.015	0	36.9	51.31	29.95	12.3	0.08225	0.10049	13.8481	343.57700	2261825	2552851	1695723	1708085
1	51	2023-12-09 13:50:54	26.28	72.91	17.351	400.18	407.25	-183.23	-183.19	-183.19	-183.19	0.178	0	0.015	0	36.88	51.31	29.96	12.3	0.08206	0.10029	13.8483	343.57701	2261625	2552221	1695736	1707872
1	52	2023-12-09 13:50:55	26.29	72.91	17.335	400.42	407.48	-183.25	-183.21	-183.18	-183.18	0.178	0	0.015	0	36.84	51.28	29.96	12.3	0.08261	0.10017	13.8486	343.57703	2260914	2552542	1695653	1707633
1	53	2023-12-09 13:50:56	26.3	72.9	17.324	400.85	407.92	-183.21	-183.25	-183.18	-183.21	0.178	0	0.014	0	36.79	51.28	29.96	12.3	0.08275	0.10032	13.8489	343.57704	2260421	2552232	1695453	1707581
