"","filename","site","elevation","aspect","plot","day.night","measurement","tstart","tfinish","wamb","tav","pav","cav","flux_value_original","flux_nlm","lm_rsqd","non_linear_sigma","aic_lm","aic_nlm","w_prime_min","w_prime_max","suggested.discard","flux","comments","pairID","flag","flux_value"
"11","1_2000_west_3_day_redo_photo","1","2000","west","3","day","redo",20,80,22.4084615956254,20.4130081300813,79.9867195121951,399.10881300813,1.6897909647213,1.24755998527824,0.985899064190548,0.206081788359645,-114.008281570554,-14.9788321277819,23.8403267770694,26.4884313214057,FALSE,"ET","This is better","1_west_3_day_ET","manual_flux_time_selection",1.6897909647213
"12","1_2000_west_4_day_photo","1","2000","west","4","day","photo",20,80,20.8957906857579,19.5880115702479,79.9908388429752,395.259198347107,2.08093486450709,1.4605298187188,0.955650006762815,0.338600984996407,-17.156936289331,43.613980299186,23.2399275587061,26.4353286722905,TRUE,"ET","There is a better redo","1_west_4_day_ET","discard_this_keep_other_reading",NA
"13","1_2000_west_4_day_redo_photo","1","2000","west","4","day","redo",20,80,10.2550603902696,19.9991256198347,79.9820694214876,402.901371900826,1.57515857816958,1.05755215383471,0.992068536316798,0.24043769845517,-158.223825179486,3.21533830674349,23.2715485383231,25.632820578461,FALSE,"ET",NA,"1_west_4_day_ET","okay",1.57515857816958
"14","1_2000_west_5_day_photo","1","2000","west","5","day","photo",20,80,20.4370066498686,18.7486609756098,79.9833666666667,397.230195121951,1.65845437489713,1.09225509579747,0.991237718065818,0.259614091100535,-146.3327975251,12.2700986918634,23.4491649217711,25.9464946332226,FALSE,"ET","This is better","1_west_5_day_ET","manual_flux_time_selection",1.65845437489713
"15","1_2000_west_5_day_redo_photo","1","2000","west","5","day","redo",20,80,20.9464445092799,19.2500553719008,79.999752892562,397.63705785124,2.42623548984432,1.6308633651164,0.98529023914533,0.377316531826644,-67.7644679298623,56.3889037828719,22.4114637680893,25.9432316883496,TRUE,"ET","The original is better","1_west_5_day_ET","discard_this_keep_other_reading",NA
"16","2_2200_east_1_day_photo","2","2200","east","1","day","photo",20,80,23.6894149309069,20.89541375,78.760860625,369.18169375,2.16735817259073,1.53382736369027,0.988240407303163,0.28571144492716,-92.7780137026291,23.5728589965832,25.4592827035373,29.218695387083,FALSE,"ET",NA,"2_east_1_day_ET","okay",2.16735817259073
"17","2_2200_east_2_day_photo","2","2200","east","2","day","photo",20,80,23.0717732041681,22.9108024242424,78.7754121212121,377.030309090909,4.85620704278761,1.32280087358212,0.986543151645739,0.454927336722234,14.7849289765623,78.4611889990142,25.4722171375891,33.3482135476084,FALSE,"ET",NA,"2_east_2_day_ET","okay",4.85620704278761
"18","2_2200_east_3_day_photo","2","2200","east","3","day","photo",20,80,22.3751012522668,21.9751227642276,78.7704926829268,361.076089430894,4.73762662836497,3.27420212963674,0.985269346350709,0.705179909645572,16.9861580199651,130.18238903676,26.6634771654643,33.9740077545983,FALSE,"ET",NA,"2_east_3_day_ET","okay",4.73762662836497
"19","2_2200_east_4_day_photo","2","2200","east","4","day","photo",20,80,22.3224674054694,20.3029840336134,78.7617344537815,379.515991596639,2.90331041227487,2.08641373239318,0.985345008294983,0.385700061229486,-43.7538194522774,58.9820224377132,24.6195587578332,29.3058824316528,FALSE,"ET","This is better","2_east_4_day_ET","manual_flux_time_selection",2.90331041227487
"20","2_2200_east_5_day_photo","2","2200","east","5","day","photo",20,80,22.316094768859,20.0078,78.7881050420168,314.727882352941,-12.2050851296308,-14.2990231103658,0.766040708623876,1.71428849031969,315.624171095538,235.001840699927,8.54325900729228,28.6275269778142,TRUE,"ET","Signalstrength below 95 at 50 sec","2_east_5_day_ET","suspicious",NA
"21","2_2200_east_5_day_redo2_photo","2","2200","east","5","day","redo2",20,80,21.2946825978295,21.93380625,78.74440859375,388.2018046875,3.13278299564668,2.11592843474814,0.930406582207563,0.429675031492008,64.7605060165248,71.7223831161942,22.7752618074546,28.0885089622074,TRUE,"ET","Redo is better","2_east_5_day_ET","discard_this_keep_other_reading",NA
"22","2_2200_east_5_day_redo_photo","2","2200","east","5","day","redo",20,80,22.1109367814013,19.395579338843,78.7712752066116,389.069917355372,1.93367081237949,-0.75889294496201,0.993580114538754,0.200403060059201,-144.586979338322,-18.2760450055668,24.1130489719595,27.0288312668657,FALSE,"ET","This is better","2_east_5_day_ET","manual_flux_time_selection",1.93367081237949
"23","2_2200_west_1_day_photo","2","2200","west","1","day","photo",20,80,24.3233009221963,23.8172916666667,78.6742486111111,388.464569444444,1.65185383080293,3.89329199727188,0.753683008449521,0.34959354095545,53.2280752967135,42.227782835786,30.4243081215983,33.4648313984805,TRUE,"ET","Redo is better","2_west_1_day_ET","discard_this_keep_other_reading",NA
"24","2_2200_west_1_day_redo_photo","2","2200","west","1","day","redo",20,80,24.245764449734,24.589395,78.6671116666667,392.964741666667,2.29721978829612,1.58020968080465,0.991882061851812,0.332653331287113,-106.84091433271,41.5228458724343,28.3213055731827,32.0776972860382,FALSE,"ET","This is better","2_west_1_day_ET","manual_flux_time_selection",2.29721978829612
"25","2_2200_west_2_day_photo","2","2200","west","2","day","photo",20,80,25.6643829583639,22.8473776859504,78.6827851239669,391.824396694215,2.5875386749226,1.62604009029417,0.997437718114638,0.445420275259632,-163.74677112567,75.9690960895865,25.5362631673729,29.4566671834539,FALSE,"ET",NA,"2_west_2_day_ET","okay",2.5875386749226
"26","2_2200_west_3_day_photo","2","2200","west","3","day","photo",20,80,25.4147246085501,26.0766147540984,78.6985295081967,388.399303278689,1.88043865431779,1.46976247343123,0.916758646318219,0.308308444030604,16.0866270509369,32.5548249857989,33.9717626447509,37.4854920622504,FALSE,"ET",NA,"2_west_3_day_ET","okay",1.88043865431779
"27","2_2200_west_4_day_photo","2","2200","west","4","day","photo",20,80,25.0326821834014,24.4433866666667,78.6939783333333,393.021966666667,1.88231668228488,0.971357745005165,0.923948363977006,0.491315049133455,9.56098081090914,87.5410368648856,28.6381078325443,31.8260555890096,FALSE,"ET",NA,"2_west_4_day_ET","okay",1.88231668228488
"28","2_2200_west_5_day_photo","2","2200","west","5","day","photo",20,80,25.3816437607288,23.5879479338843,78.6871884297521,388.204190082645,2.80251620792624,1.89827261999137,0.993598423839725,0.411735098553425,-97.6221959075911,66.6898006002475,27.6738171525748,32.2483680411363,FALSE,"ET",NA,"2_west_5_day_ET","okay",2.80251620792624
"29","3_2400_east_1_day_photo","3","2400","east","1","day","photo",20,80,25.6689542208831,22.0864579365079,76.3017785714286,448.798476190476,2.77719873375073,1.82194036341596,0.990964144710421,0.458594001438067,-74.4065788195544,79.4084438509513,30.1298561094014,34.5351631777486,FALSE,"ET","Looks good","3_east_1_day_ET","okay",2.77719873375073
"30","3_2400_east_2_day_redo_photo","3","2400","east","2","day","redo",20,80,25.0479451089595,22.6525099173554,76.3042652892562,435.049685950413,3.72862522525344,2.45110565642607,0.988752650445516,0.622738887891909,-24.744927119823,115.511962234092,26.4352233153529,32.8871260948604,FALSE,"ET",NA,"3_east_2_day_ET","okay",3.72862522525344
"31","3_2400_east_3_day_photo","3","2400","east","3","day","photo",20,80,26.4446838036482,23.0326098360656,76.2954557377049,425.151327868852,3.6706738194143,2.14174591113958,0.992329361017984,0.745547236693931,-50.0521752241679,136.750921976477,28.2149376392781,33.980636231033,FALSE,"ET","Looks good","3_east_3_day_ET","okay",3.6706738194143
"32","3_2400_east_4_day_photo","3","2400","east","4","day","photo",20,80,25.6053328992262,24.0866073770492,76.3031786885246,466.394057377049,3.82056352024745,-0.119038442221341,0.993122902481415,0.36706557313624,-51.4585350085607,53.1387192578955,28.7787480647386,34.991617602889,FALSE,"ET",NA,"3_east_4_day_ET","okay",3.82056352024745
"33","3_2400_east_5_day_photo","3","2400","east","5","day","photo",20,80,20.724416498301,25.0360852459016,76.2920442622951,440.081549180328,4.75028952466673,3.20963264346937,0.986853011054172,0.755953801197723,15.4349830551848,138.386610854743,29.0052924829208,36.7030190035957,FALSE,"ET",NA,"3_east_5_day_ET","okay",4.75028952466673
